PASS 000: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 001: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 002: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 005: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 007: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 008: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 009: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 011: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 012: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 013: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 014: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 015: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 016: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 017: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 018: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 019: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 020: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 021: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 022: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 023: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 024: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 025: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 026: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 027: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 028: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 030: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 031: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 032: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 033: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 034: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 036: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 037: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
PASS 039: exact export, TCP/waypoints, raw joint caps, C2 joins, original FCL
